"Title","Release.Year","Locations","Fun.Facts","Production.Company","Distributor","Director","Writer","Actor.1","Actor.2","Actor.3","lon","lat"
"Chance - Season 1ep105",2016,"Private alley along 20th St. between Tennessee and Minnesota","","TVM Productions","HULU","Victoria Morrow","Roxann Dawson","Hugh Laurie","Gretchen Mol","Ethan Suplee",-122.3901764,37.7573283
"Murder in the First, Season 3",2016,"Harriet Alley","","Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale",-122.4041981,37.7764971
"Sense8 - Season 2",2016,"Washington between Stockton and Kearny","","Unpronounceable Productions, LLC","Netflix","Wachowski Siblings","J. Michael Straczynski, Wachowiski Siblings","Jamie Clayton","Daryl Hannah","Naveen Andrews",-122.4054368,37.7975592
"Etruscan Smile",2017,"California Street between Sansome & Davis","","Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch",-122.401271,37.7932368
"Sense8 - Season 2",2016,"The Women's Building, 3543 18th St.","The mural painted outside the building was painted by 7 women artists including Juana Alicia, Miranda Bergman and Meera Desai. The computer lab scene was filmed inside the building.","Unpronounceable Productions, LLC","Netflix","Wachowski Siblings","J. Michael Straczynski, Wachowiski Siblings","Jamie Clayton","Daryl Hannah","Naveen Andrews",-122.4226582,37.7615522
"Sense8 - Season 2",2016,"Green between Kearny and Montgomery","","Unpronounceable Productions, LLC","Netflix","Wachowski Siblings","J. Michael Straczynski, Wachowiski Siblings","Jamie Clayton","Daryl Hannah","Naveen Andrews",-122.4054368,37.7975592
"Looking Season 2 ep 205",2015,"Always Open Car Wash, 2560 Marin Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4031389,37.7486566
"Murder in the First, Season 2",2015,"Pennsylvania Avenue at 19th Street","","Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale",-122.3935108,37.7614837
"Birth of the Dragon",2016,"Hyde at Union","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia",-122.4190745,37.7992091
"Looking ""Special""",2016,"The Stud, 399 9th Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4100035,37.7728168
"When We Rise",2017,"440 Castro St.","","Film 49 Productions","Amercian Broadcasting Company","Gus Van Sant","Dustin Lance Black","Guy Pierce","Mary-Louise Parker","Michael Kenneth Williams",-122.4352794,37.7618221
"Pushing Dead",2016,"Mission Neibhrohood Health Cetner, 240 Shotweel Street","","Pushing Dead , LLC","TBD","Tom Brown","Tom Brown","Danny Glover","James Roday","Robin Weigert",-122.4165839,37.7645364
"Chance- Season 1 ep108",2016,"1000 Mason St.","","TVM Productions","HULU","Peter Elkoff and Victoria Morrow","Andrew Bernstein","Hugh Laurie","Gretchen Mol","Ethan Suplee",-122.4105791,37.7931691
"Budding Prospects, Pilot",2017,"1641 York Street","","Picrow Streaming Inc.","Amazon ","Terry Zwigoff","Melissa Axelrod, T. C. Boyle (based on the book by)","Adam Rose","Will Sasso","Joel David Moore",-122.4062631,37.7473312
"Budding Prospects, Pilot",2017,"1125 Guerrero Street","","Picrow Streaming Inc.","Amazon ","Terry Zwigoff","Melissa Axelrod, T. C. Boyle (based on the book by)","Adam Rose","Will Sasso","Joel David Moore",-122.4226803,37.753209
"Pushing Dead",2016,"Blind Cat, 3050 24th Street, San Francisco","Pushing Dead won the Audience Award for  Frameline San Francisco International LGBTQ Film Festival 
2016
","Pushing Dead , LLC","TBD","Tom Brown","Tom Brown","Danny Glover","James Roday","Robin Weigert",-122.4131676,37.7526967
"Chance - Season 1 Pilot",2016,"Warren's Antiques, 375 9th St.","","TVM Productions","HULU","Lenny Abrahamson","Alexandra Cunningham and Kem Nunn","Hugh Laurie","Gretchen Mol","Ethan Suplee",-122.4103937,37.7729581
"Looking Season 2 ep 204",2015,"Larken Street Youth Services, 1138 Sutter Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4130212,37.7821292
"Chance- Season 1 ep107",2016,"60 Potomac","","TVM Productions","HULU","Alexandra Cunningham and Kem Nunn","Michael Lehmann","Hugh Laurie","Gretchen Mol","Ethan Suplee",-122.4324466,37.7701879
"Etruscan Smile",2017,"343 Union Street","","Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch",-122.4050849,37.8008088
"Murder in the First, Season 2",2015,"Boardman Place between Bryant and Brannan Streets","","Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale",-122.4029163,37.7745865
"Looking ""Special""",2016,"Castro Street between 17th & 18th","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4350906,37.7623336
"Looking Season 2 ep 210",2015,"Mission Rec Center, 2450 Harrison Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.412635,37.7582258
"Pushing Dead",2016,"Koshland Park","","Pushing Dead , LLC","TBD","Tom Brown","Tom Brown","Danny Glover","James Roday","Robin Weigert",-122.4267285,37.7732776
"GirlBoss",2017,"Musee Mecanique, Fisherman's Wharf","An interactive museum consisting of 20th century penny arcade games and artifacts. ","Hippolyta Productions, LLC","Netflix","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi","Kay Cannon","Britt Robertson","Ellie Reed","Amanda Rea",-122.4160609,37.8093405
"Looking Season 2 ep 210",2015,"67 Deming Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4457286,37.7603405
"Looking Season 2 ep 207",2015,"Delores Park","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4269038,37.7596168
